,5,10,20,50,100,200,500
5,0.937062937,0.928327645,0.948805461,0.785425101,0.943521595,0.937062937,0.6125
10,0.790322581,0.944444444,0.909090909,0.937931034,0.951388889,0.834285714,0.946308725
15,0.951388889,0.948805461,0.953333333,0.863636364,0.913669065,0.869822485,0.953642384
20,0.955631399,0.947735192,0.932384342,0.937293729,0.68997669,0.936619718,0.890909091
25,0.962457338,0.947735192,0.939929329,0.95532646,0.936877076,0.895061728,0.940350877
35,0.947735192,0.936877076,0.948453608,0.888888889,0.914285714,0.943521595,0.943143813
50,0.962457338,0.936619718,0.946666667,0.950166113,0.94,0.933333333,0.932475884
60,0.936619718,0.932862191,0.962199313,0.95532646,0.95862069,0.948096886,0.948453608
